ID,Season,team,score,Oscore,fgm,fga,fgm3,fga3,ftm,fta,or,dr,ast,to,stl,blk,pf,Ofgm,Ofga,Ofgm3,Ofga3,Oftm,Ofta,Oor,Odr,Oast,Oto,Ostl,Oblk,Opf,Margin,Win,fgp,fgp3,ftp,atr,Ofgp,Ofgp3,Oftp,Oatr,Num.T.W.p,Num.H.W.p,Num.A.W.p,Num.N.W.p,SeedNum.ThisYr,SeedNum.LastYr,Num.TR.W.ThisYr,Num.TR.G.ThisYr,Num.TR.W.LastYr,Num.TR.G.LastYr,Win.first,Rb.Margin,St.Margin,Tur.Margin,Pf.Margin,blk.Margin,Conference,Team_Name,Rank,Pyth,Adjust.O,Adjust.O.Rank,Adjust.D,Adjust.D.Rank,Adjust.T,Adjust.T.Rank,Luck,Luck.Rank,SOS.Pyth,SOS.Pyth.Rank,SOS.Opp.O,SOS.OppO.Rank,SOS.OppD,SOS.OppD.Rank,NCSOS.Pyth,NCSOS.Pyth.Rank
2003_1114,2003,1114,0.062012279,0.039631727,-0.322474211,-0.733667326,0.423625059,0.075005982,0.53534581,0.61697001,-0.668558864,-0.133259265,-1.11175924,0.581009194,-0.342116421,-0.759215835,0.792094891,0.11651943,0.027828025,-0.346543789,-0.409564986,0.010130729,0.034948283,0.081159831,-0.279641832,-0.678357187,0.322610526,-1.016246444,0.029178117,0.836885786,0.023184714,0.571428571,0.448322148,0.37109375,0.692675159,-1.139496008,0.442185515,0.347916667,0.692439863,-0.784271716,0.571428571,0.529411765,0.666666667,0.6,20,20,0,0,0,0,0,-0.276942302,0.438432773,0.208980757,0.00521608,-0.696334661,SB,Arkansas Little Rock,142,0.5329,101.5,159,100.3,141,67.3,213,0.07,28,0.4891,154,101.1,174,101.5,160,0.4209,230
2003_1115,2003,1115,-2.64989257,0.833802687,-2.46540798,-0.460620881,-1.201143033,-0.381978457,-1.35912862,-1.029598706,-0.988746993,-1.128341611,-1.827495844,2.345431408,0.694460088,-0.423216804,0.644401525,0.338828417,0.465063325,0.101450927,0.379290211,1.283796611,1.356487453,2.491028176,2.673831386,0.64115725,1.405095952,2.202085159,0.600022027,-0.870003632,-3.007041015,0.142857143,0.354605263,0.281779661,0.638945233,-2.193801989,0.438195303,0.336483932,0.694083694,-0.476450448,0.142857143,0.111111111,0.2,0,20,20,0,0,0,0,0,-3.439946237,-0.986572389,0.763845155,1.295114515,-0.696334661,SWAC,Arkansas Pine Bluff,321,0.056,78.5,327,100.4,147,69.8,109,0.013,129,0.4319,212,99.8,217,102.2,200,0.851,1
2003_1116,2003,1116,-1.403039766,-0.644045881,-1.269351923,-0.132965148,-0.146469008,0.486291977,-1.059170169,-0.358774414,1.572758038,0.178923432,-2.020938169,0.982014242,-0.451229738,0.248781258,1.04528352,-1.217334493,-0.955951399,-0.631631336,-0.377366815,1.055189914,1.273147145,-1.070221711,-0.480186309,-1.138187976,-0.923268928,0.332387751,0.911391432,-0.622953847,-0.726107467,0.321428571,0.392673522,0.310218978,0.609489051,-1.878293883,0.418983051,0.331950207,0.680758017,-0.341811967,0.321428571,0.470588235,0.111111111,0,20,20,0,0,0,0,0,1.527655554,-0.582466448,1.493095507,1.444667957,-0.258002484,SEC,Arkansas,146,0.5295,96.5,250,95.5,52,67.3,217,-0.039,267,0.7184,17,105.6,18,97.3,17,0.5127,142
2003_1117,2003,1117,0.250478876,-0.011365204,-0.399144471,-0.357003256,1.331390227,1.054007262,0.655572072,0.27358303,-0.429957134,-1.48404978,-0.882604486,-0.932013701,0.075451849,-1.36072459,1.337424245,-0.901629422,-1.594223209,-0.086518884,-0.491298806,1.729705278,1.760367408,-0.013587129,0.117239897,-1.156642723,0.431016178,-1.089336759,-0.777188805,0.351424322,0.230426725,0.423076923,0.433192686,0.371171171,0.737881508,-0.138312646,0.451145038,0.365079365,0.699259259,-1.19304806,0.423076923,0.4375,0.375,0.5,20,20,0,0,0,0,0,-1.025934312,0.814725756,-1.071475547,0.892470634,-0.810132438,SB,Arkansas St.,158,0.4959,106.1,77,106.2,259,68.2,181,-0.1,316,0.4775,165,100.4,194,101.2,144,0.3795,265
2003_1119,2003,1119,-2.793031272,-0.461455619,-2.302611461,-2.164430695,-0.299254218,-0.489826785,-2.53054531,-2.698609543,-2.134220025,-0.841913987,-0.992598768,1.364573059,-1.141917033,-1.406777604,0.094982201,-1.347299747,-1.556553706,2.522251467,1.761879688,0.470609932,0.386406268,-0.831376982,-0.60999328,-0.360874017,-1.155288446,0.036914259,0.369608667,-1.492569088,-2.100177097,0.12,0.411764706,0.355932203,0.676100629,-1.393694143,0.431512272,0.386156648,0.705128205,0.518176617,0.12,0.142857143,0.1,0,20,20,0,0,0,0,0,-0.845688088,-0.915960193,1.975669001,1.326520738,-1.456840989,Pat,Army,323,0.0525,86.7,321,111.5,310,63.9,302,0.027,92,0.3628,264,97.4,287,102.3,206,0.2997,309
2003_1120,2003,1120,0.073233955,-0.831424189,0.534699296,-0.355042923,-0.496126703,-0.549539418,-0.556081959,-0.30348223,0.114567934,-0.291952136,-0.08264607,0.544918739,0.747198191,1.472632275,-1.649768769,-0.389661033,0.144424105,0.720498171,1.193903946,-1.510648107,-1.382630671,0.363203682,-1.3042418,-0.525080258,0.514598507,0.649112449,-0.870333499,-8.89E-05,0.728033583,0.633333333,0.469835466,0.344897959,0.662162162,-0.4517341,0.420247204,0.333333333,0.669354839,-0.782350829,0.633333333,0.722222222,0.428571429,0.6,10,20,2,3,0,0,1,0.483236282,0.132163007,0.031424149,-1.461653928,1.78024214,SEC,Auburn,53,0.7815,105.3,89,94.3,31,67.7,195,0.051,52,0.6877,34,104.6,55,97.7,20,0.3726,274
2003_1122,2003,1122,0.004056714,-0.418199518,-0.462752391,-1.024242678,-0.203478415,-0.27704129,1.00253256,1.153629443,-0.615935352,0.612510511,-0.078633933,0.164409504,-0.013766162,1.216051196,-0.290989797,-0.152024759,0.18461442,0.03206454,-0.223531108,-0.711371359,-0.671460043,-0.061647182,-0.324882505,-0.151884255,-0.514783861,-0.225002308,-0.009262551,0.707954081,0.337226289,0.740740741,0.452347084,0.349137931,0.691358025,-0.23816611,0.427919113,0.358649789,0.686507937,0.175879927,0.740740741,0.611111111,1,1,13,20,0,1,0,0,0,0.205605843,0.145396886,0.529569076,-0.847100063,1.095551044,OVC,Austin Peay,130,0.5638,99.8,190,97.6,83,65.3,284,0.172,1,0.4629,180,103.1,98,104.5,291,0.6854,27
2003_1123,2003,1123,0.631824011,1.192445688,0.643230309,1.114553718,-0.708961821,-0.442909716,0.770050143,0.516143086,0.805640646,-0.747218569,-1.653397751,-1.176729603,-1.416882591,-0.893615448,2.190258761,0.392410583,-0.606825637,-1.1420738,-1.150122927,2.528070204,2.36212717,-0.636445409,0.924840456,0.61316755,-0.209781678,-1.238975425,-1.742167834,1.257619055,-0.392966286,0.433333333,0.428886439,0.322,0.725903614,-0.5898686,0.471569839,0.339784946,0.716686675,0.551603085,0.433333333,0.45,0.285714286,0.666666667,20,20,0,0,0,0,0,-0.247857208,-0.245002538,-0.767580584,0.89381278,0.118232635,MAC,Ball St.,172,0.4648,105.4,86,106.7,269,72.1,40,0.013,132,0.5675,110,103.3,87,100.9,131,0.6409,39
2003_1124,2003,1124,-0.118781377,-0.284942491,-0.438757439,0.485940126,2.247926074,2.714091119,-0.711849856,-1.053992317,-0.008170848,0.042343502,0.358402432,-0.922759739,0.96724338,-0.239944605,-2.014079073,0.920251922,0.763178302,-0.957445675,-0.602754014,-2.047329543,-1.846161528,0.295370351,1.178863461,0.121348532,-0.126723048,-1.292103439,-0.282191289,-1.566234842,0.122355737,0.5,0.407019704,0.341857335,0.725050916,0.824377903,0.450849515,0.324786325,0.653301887,0.10736293,0.5,0.588235294,0.25,0.666666667,20,20,0,0,0,0,0,-0.733049452,1.650750598,-0.631242475,-0.480832606,-0.066232157,B12,Baylor,97,0.6363,105.3,90,100.3,140,67.1,231,-0.005,178,0.6117,85,102.1,138,98.2,47,0.2049,325
2003_1125,2003,1125,0.485942233,0.163936747,0.441672714,-0.342300755,1.53530849,1.343137801,-0.459253266,-0.57831691,-0.668558864,0.295991943,1.809219871,1.122366009,1.540088293,-1.309032432,-0.473848251,0.082318048,0.147074016,0.427265266,0.701271925,0.059117878,-0.262695675,-0.400813838,-0.626036839,0.681142536,0.138792246,1.772974279,1.067076135,-0.937380846,0.29865978,0.571428571,0.465753425,0.367576244,0.701886792,0.419830753,0.437578815,0.338797814,0.728904847,0.343705907,0.571428571,0.466666667,0.7,0.666666667,20,20,0,0,0,0,0,0.308064695,-0.02947937,0.779698424,0.360405504,-1.737373582,ASun,Belmont,167,0.4781,101.8,148,102.6,190,68.7,149,0.02,117,0.4306,214,100.6,189,103,238,0.6508,34
2003_1126,2003,1126,-0.869386766,0.586573814,-0.674646272,-0.049230905,-0.442917923,-0.677495061,-0.673960368,-0.736062258,0.320021984,-1.457434204,-1.400633113,0.52620517,0.925416609,-1.235723552,0.161936527,0.488174455,-0.476980003,-0.267805324,-0.323703196,0.562052611,0.561976517,0.313221228,0.108077492,-0.002605854,0.914913872,0.534682881,0.437418004,-1.404529528,-1.236287289,0.266666667,0.413237925,0.357740586,0.693140794,-1.303453286,0.47120098,0.348076923,0.697466468,-0.638929818,0.266666667,0.222222222,0.3,0.5,20,20,0,0,0,0,0,-0.756846347,0.350522007,-0.294096298,1.312562417,-1.339221854,MEAC,Bethune Cookman,314,0.0782,89.4,310,110.7,308,68.5,163,-0.018,212,0.2237,319,95.3,316,106.2,317,0.4493,202
2003_1127,2003,1127,-0.545482115,-0.711825367,-0.238799508,0.278289991,1.126741075,1.239470035,-1.551499635,-1.578454945,-0.014100258,0.612510511,-0.459786959,0.081238087,-0.466384365,2.768208337,-0.531675283,-0.630844116,0.380413393,-1.023815262,-0.99151712,-0.067885842,-0.264018537,0.910233879,0.544818799,-1.333671596,-0.557145276,-0.860722131,-0.385981091,-1.225189685,0.085829784,0.518518519,0.420336788,0.349662162,0.675925926,-0.451820922,0.405283505,0.338785047,0.715083799,-0.755877156,0.518518519,0.45,0.666666667,1,20,20,0,0,0,0,0,-0.329089818,0.233622745,0.496688223,0.54873206,2.686534502,AE,Binghamton,199,0.3924,95.9,257,99.6,125,67.5,205,0.007,144,0.3854,247,98.8,248,102.9,227,0.4647,181
2003_1128,2003,1128,-0.320196061,-1.000493181,-1.168402747,-1.611616663,1.14720599,1.152434679,0.774583928,0.549418473,-0.602366126,-0.895705467,-0.09097897,0.40672623,0.633608431,0.612976012,-0.639394662,-0.864797164,-1.080548172,-0.963711335,-1.340835173,-0.327754994,-0.509053288,-0.446127601,-1.316022035,-1.307356494,0.101085932,-0.099080881,-1.224283336,0.617477936,0.515225563,0.653846154,0.442812983,0.355239787,0.723183391,-0.382797083,0.436671576,0.359693878,0.712851406,-1.127245456,0.653846154,0.588235294,0.777777778,0,20,20,0,0,0,0,0,0.127299821,0.562773063,0.243126258,-1.080484387,1.196080219,BSth,Birmingham Southern,226,0.3218,99.7,191,106.4,263,64.8,286,0.036,75,0.231,317,94.5,322,104.9,301,0.2933,310
2003_1129,2003,1129,-0.661162347,-0.568081703,-0.687935784,0.021761171,-0.859086592,-0.210609293,0.109089063,0.092507382,-0.308347219,-0.640556147,-1.03438231,-0.301201913,-0.314838092,0.49314419,0.201321425,-0.858219975,-0.896328404,-1.446167183,-1.58479824,0.875570367,0.463555581,-0.668576987,0.832468454,-1.797945195,1.098732152,-0.433881678,1.170865937,0.342786218,-0.131081323,0.428571429,0.410680229,0.297741273,0.697435897,-0.641833445,0.431465226,0.343980344,0.737864078,-1.951441177,0.428571429,0.5,0.363636364,0,20,20,0,0,0,0,0,-0.683472588,0.055595566,-1.090987262,-0.106949001,-0.175815201,WAC,Boise St.,180,0.4423,94.6,272,96.5,64,68.2,179,-0.033,257,0.4687,175,100.8,180,101.9,179,0.382,263
2003_1130,2003,1130,1.741179047,1.252677265,1.588465926,0.907749806,-0.203478415,-0.203912107,1.502725426,1.718888282,1.156651483,-0.563856088,1.867252569,-0.889573114,-0.0420548,-0.297875473,-0.114436807,1.192093946,1.263463206,0.401986568,0.443131413,0.524214261,0.267315841,1.920415672,-0.642382156,0.993441408,-0.258424268,-0.12526006,0.26538939,0.848502547,0.539367993,0.620689655,0.468786127,0.344554455,0.690860215,1.970612612,0.446844798,0.347826087,0.722311396,0.888437697,0.620689655,0.75,0.642857143,0,20,20,0,0,0,0,0,-0.075215751,0.054128756,-0.502776333,-0.807658446,-0.407262148,BE,Boston College,38,0.8073,117,4,103.3,201,69.5,120,0.033,83,0.709,20,105,40,97.2,15,0.5529,111
2003_1131,2003,1131,-0.275884831,-1.276159926,-0.426575387,-0.304074253,0.248796212,0.410127904,-0.025629118,-0.48562119,-0.40840601,0.709634016,0.007627015,-0.8773125,-1.034985982,0.189726883,0.595170402,-1.586709425,-1.005637229,-1.408155511,-0.714374342,0.577293058,0.884225708,-0.886357682,-0.130145039,-0.89827626,-0.972287136,-0.237716704,-0.192240127,-0.922408131,0.774313394,0.666666667,0.43047966,0.339655172,0.743055556,0.515752151,0.405714286,0.305668016,0.67,-0.099393636,0.666666667,0.5625,0.727272727,1,20,20,0,0,0,0,0,0.557271066,-0.642018902,0.061016917,1.295114515,0.271648897,AE,Boston University,125,0.5805,101.4,160,98.5,104,65.5,279,0.014,128,0.4234,224,99.3,231,102,184,0.6341,45
2003_1132,2003,1132,-0.55841244,0.147567362,-1.548062517,-1.96810693,0.003444617,-0.300736779,1.5264366,1.191575059,-1.715840869,-0.540831119,-0.439726273,0.975330825,0.071099751,-0.621196031,1.787657584,-0.577641966,-0.918042951,0.074299732,0.143766551,1.422291144,1.118813241,-0.422631576,-0.495041456,-0.338482256,-0.239434668,0.8239354,-0.224530288,1.010735634,-0.611224161,0.407407407,0.438744257,0.365800866,0.737327189,-0.891794209,0.443197756,0.344758065,0.727272727,-0.171837752,0.407407407,0.375,0.5,0.333333333,20,20,0,0,0,0,0,-0.699263738,-0.516297054,0.957020168,0.742597633,-0.438611576,MAC,Bowling Green,183,0.4292,98,222,100.5,148,67.2,223,0.049,57,0.5836,98,104.7,51,101.7,167,0.6961,25
2003_1133,2003,1133,0.459070405,0.485891511,0.080793731,0.143219762,0.099261193,-0.093605518,0.953981108,0.953433604,-0.40840601,0.076656686,-0.542104945,-0.424960368,0.300335263,-1.330098202,0.700423146,0.383054343,-0.137334525,1.306402233,1.033801315,-0.106424902,-0.238473615,-1.337061539,0.8538431,0.839015476,0.550094451,-0.805918698,0.365600233,1.238825717,0.018055178,0.379310345,0.436396835,0.359223301,0.703976436,-0.210825281,0.456912585,0.36440678,0.708117444,0.174563401,0.379310345,0.375,0.3,0.666666667,20,20,0,0,0,0,0,-0.132656532,0.793400606,-0.762988603,-0.410568273,-1.385952095,MVC,Bradley,147,0.5294,101.6,154,100.6,150,70.2,90,-0.124,325,0.5179,140,102.8,116,102.1,197,0.5302,126
2003_1135,2003,1135,0.747781322,0.426358455,-0.073295866,-0.824682807,0.252596839,-0.096363183,1.893052486,1.495139991,-1.22888809,0.139900595,0.551844757,0.420607174,0.448955125,0.370962724,-0.91692835,0.834748466,0.69361814,0.590172436,1.31303718,-0.82265081,-0.965135414,-0.133050688,-0.243179199,0.361260248,0.179640752,0.730847855,-1.008719901,0.926722072,0.320697785,0.607142857,0.461486486,0.370221328,0.744285714,0.034930786,0.449725777,0.323679727,0.706827309,0.075657087,0.607142857,0.538461538,0.769230769,0,20,20,0,0,0,0,0,-0.356265285,-0.157091772,0.193127488,-1.583789239,0.86522372,Ivy,Brown,144,0.5319,104.6,97,103.5,205,72.7,27,0.043,68,0.4369,205,99.7,221,101.9,178,0.5142,137
2003_1137,2003,1137,-2.095043072,-2.039024436,-2.581691208,-2.317336704,-0.346001932,-0.267732348,-0.206656675,0.385230709,-1.1288293,-0.582021892,-1.015038078,0.500808184,-0.969517992,-0.942488034,-0.811433089,-1.627751084,-1.89998216,-0.427997374,-0.602754014,-1.541129,-1.536611812,-2.328708514,-0.352567096,-0.818305688,0.179640752,0.45499086,-1.371984208,0.499999717,-0.224742846,0.464285714,0.404255319,0.338174274,0.637110016,-1.039536317,0.430434783,0.352564103,0.684444444,-0.805024458,0.464285714,0.4,0.5,0.6,20,20,0,0,0,0,0,0.198995594,-1.071647324,0.256540562,-1.135128914,-0.121023679,Pat,Bucknell,216,0.3477,90.3,306,95.3,49,64.8,287,-0.005,175,0.3774,253,98.9,242,103.3,256,0.4307,220
2003_1138,2003,1138,-0.848190268,0.453981793,-0.588264446,0.46773703,-0.688058372,0.132129037,-0.648700709,-0.505136078,1.032440571,-0.250327776,-0.4927438,-0.241051156,-0.478508067,-1.003578767,2.100236138,0.304627035,-0.806893911,-0.672358128,-0.667150357,0.761267018,1.630319894,-0.347261208,0.704849241,0.601171964,-0.943693181,0.02587998,0.184862819,-1.251807844,-1.111772559,0.178571429,0.401972873,0.292069632,0.671641791,-0.287931807,0.474496644,0.342672414,0.627094972,1.164267831,0.178571429,0.25,0,0,20,20,0,0,0,0,0,0.129587984,-0.391047844,0.541899396,2.902814015,-0.997688033,MAC,Buffalo,271,0.2258,94,277,104.6,228,68.5,164,-0.127,326,0.4875,156,102.6,121,103,236,0.3964,252
2003_1139,2003,1139,-0.19101285,-1.727785622,-0.223948521,-1.385840328,1.778089929,1.219042889,-1.042838493,-1.390035332,-2.186002174,-1.486948028,-0.317978664,-2.535076589,-0.542471046,-1.182637812,-1.825642709,-0.756205506,-1.250297106,-1.564134444,-1.748564801,-2.014108373,-1.893784561,-0.975119627,-1.50491201,-2.230199924,-1.658542048,-1.98967285,-0.586402777,-1.450067232,1.209627327,0.827586207,0.475153165,0.388012618,0.722916667,1.808412674,0.446225785,0.345498783,0.664367816,-0.782119532,0.827586207,0.6875,1,1,12,20,2,3,0,0,1,-0.65919702,0.957683239,-0.717068791,-0.410568273,-0.751126183,Horz,Butler,35,0.8178,113.8,12,99.9,134,59.6,325,0.073,26,0.5987,90,103.2,96,99.6,91,0.55,116
